"ID","Q10","rPC1","rPC2","rPC3","rPC4","rPC5","rPC6","rPC7"
"MF_1",3.32040893574083,0.538793892453515,0.714392001881827,-0.0367211525561983,0.533969515807083,-0.0122259507916383,0.636606818664132,0.276529988869231
"MF_10",2.88305231630084,-0.491153932576735,-1.02620234302042,-0.294803685440029,0.518738379131813,0.465380348862336,-0.028881551229444,0.286506499588655
"MF_11",2.6809436850819,-0.0577899835640865,-0.629373703084753,-0.578937927320342,0.203483886486766,-0.941157917034282,0.156353674106877,-0.274646620266754
"MF_12",2.67726734897371,-0.545977785490594,-0.934437873441679,-0.423190746471899,0.276395668246751,-0.07465130494761,0.237420377044176,0.014904348160174
"MF_13",1.72866199113574,-0.752860026034099,-1.48373905393638,-0.498117718283874,2.43356635766684,-0.92001840168129,0.474460817029511,-0.256622178023913
"MF_14",2.74811200483606,1.09413214876191,-0.626733305184863,0.143060436027785,0.10852327306348,1.25934100116536,1.22523873106437,-0.0548333341689048
"MF_15",2.68548471680051,0.41790018804048,-1.05324336126283,-0.3253332582023,-0.444142216410178,-0.0726536502687233,0.982672033057271,-0.763305022994363
"MF_17",1.92332423689702,-0.880638623692572,-1.66833467952193,0.0907506543203612,2.02230212968724,1.24657637667069,0.483574753600166,-0.435365444525387
"MF_18",1.80411640530671,-0.056482459084044,-0.528703741261559,0.196342671490395,1.79898069146047,1.32616050250298,0.335682517787422,-0.262297488569385
"MF_19",2.64143603505762,-0.350993925710224,-1.22462251369538,-0.0512102459701314,-0.0790577488729248,0.356089434529038,-0.498493093027488,0.474147384323278
"MF_2",3.13534553829404,1.21085972852005,-0.807626779267413,-0.310671192830365,-1.66315864445529,-0.297593652941961,0.913702692071112,-0.0274793523987868
"MF_20",2.31229592600105,1.47400495295914,-0.819064876257165,0.340200644094088,1.32415966290126,0.442256403814699,-0.0241814009714959,-0.00425077401925306
"MF_21",3.98833834902134,1.78101264878395,-1.06921226176464,0.35773011706948,0.625595973978656,0.202988727672341,-2.47154903737931,0.670140009802594
"MF_22",2.11637817919029,1.9073122507853,-1.54354640933703,0.124725859454013,0.0231980502791931,-0.519814423861471,1.05944924632655,-1.07485916540798
"MF_23",1.763215947835,-0.637547312662484,-1.10585547752973,-0.460548222470388,0.523253637964606,-1.44164787948238,0.42784031604435,0.169813948857786
"MF_24",2.7404773303018,1.77536198141967,-1.04423903707078,0.0563677798882932,0.43414015490633,0.599382561702165,0.231706367719413,0.164862143381277
"MF_25",1.51306332889215,-1.45902258382279,-1.11077918551981,-0.154078068573719,2.13395074967563,0.462350659032226,-0.0314127266557108,0.126861046687443
"MF_26",2.84383317274276,0.858114310331314,-1.48391507173437,-0.343435936873655,-0.652341070448848,-0.588075744418281,1.49390299616677,-0.934586625164928
"MF_27",3.12647872591268,0.441175323087455,-0.212843917278225,-0.0496300850196403,-0.106271385685656,-0.436652654353829,0.628991971195178,0.155816457048362
"MF_28",2.56060986992302,0.102994601379875,-1.01563328447939,-0.715319963301196,-0.785871486176805,-0.667353870430728,0.80724193043769,0.0498188825856815
"MF_29",3.57667063583523,0.871198296240252,-1.32428237132513,-0.0580140073705165,-0.0440913744604786,-2.07239269579059,-0.255736587437399,-0.902678429864449
"MF_3",3.08930655233239,1.11817256342614,-0.376953769406215,-0.208610454148033,-0.544284235042652,-0.468613807448774,0.265395438217139,0.240056891044523
"MF_30",3.10812347972544,-0.557093479799447,-1.61083190958554,-0.628988756766512,-1.09222902881138,-0.134509275512225,-0.30436483993571,-1.23894924719076
"MF_31",2.09247114252772,-1.18732866112545,-0.0953006593193133,0.188627389749234,1.28690499629049,-0.139949371500712,0.261609858353747,-0.185157395761213
"MF_32",2.23201143474254,-0.231019615253298,-1.00701047754482,0.31683132430234,3.08052525272411,2.52545294061043,1.68852221890871,-0.023935167879208
"MF_33",2.17640714449749,-0.338085940703066,-1.35403257438945,0.229082823113214,3.68365763383907,-1.54336916301551,0.143447881421296,0.584054159103954
"MF_34",2.87487561424522,-1.25633374890521,-0.515989344888517,1.00834662378229,0.559053120417,-0.698025644335648,-0.340247118278105,0.53122172920073
"MF_35",1.81864257278907,-1.41373172353526,-1.58598615550692,-0.670799358330511,0.69613164510008,1.57807394319019,-0.631129943771329,0.07164124788011
"MF_4",1.85616273457493,0.25868052219848,-0.200863457128587,-0.445142842891619,-0.648405155772756,1.27379571251036,0.481757263159182,-0.547719628093345
"MF_5",2.13958521519919,2.19568292601577,-0.990160571336172,-0.205570639396909,0.682851298842482,0.169962929835508,-2.13972276340356,0.181108655385115
"MF_6",2.31229979937514,1.15207171582765,-0.302812924655997,-0.261966374008197,1.92556547577271,-1.14620998397541,3.05004588526424,0.264267948154251
"MF_7",2.66556534507495,1.99326392940074,-0.862750150831686,-0.236851790548982,-0.364931221589881,0.527312475347851,0.842823473928788,2.59325721647236
"MF_8",2.72971361625191,1.82304798748178,-0.266253400617418,0.159157697623394,-0.623258888405409,1.80174524866889,-0.966373324162781,0.418472128858491
"MF_9",2.45935304258886,2.01729463813072,-1.11123645662638,0.250165105281319,1.18297694201745,1.37311119554398,2.08526377609911,-0.777771264746888
"SG_11",2.31651732439548,-0.927764740195141,0.119821490547119,-0.618742512672225,-0.490785785887984,0.769210810726655,0.892935811449487,0.305712497761183
"SG_12",2.37504273588101,-0.62587454205844,0.312420770499535,1.00766779898932,-0.499834318956018,0.796613281104063,-0.326485007129519,-0.0386705951193947
